job_title,job_location,job_type,job_description
"Data Analyst, Paid Search","Berlin, Berlin, Germany",Hybrid,"About GetYourGuide

GetYourGuide is the globally leading marketplace for unforgettable travel experiences. Travelers use GetYourGuide to discover the best things to do in a destination. Since its founding in 2009, people from all over the world have booked more than 150 million tours, activities, and attraction tickets through GetYourGuide. Powered by a global team of over 800 travel experts and technologists, we are headquartered in Berlin and have 17 local offices around the world. Visit our careers website to learn more.

Team mission

Innovative and effective Performance Marketing is the driving force of our success. We take a data-driven approach to connect the customer's intent to the right inventory in our marketplace. We believe in building scalable channels, by working in cross-functional teams (Product, Engineering, Data Science, Content, Design) to build the best marketing automation in the industry. We are looking for an outstanding Data Analyst - Paid Search to join our Berlin HQ. Be a part of one of Berlin's most innovative and cutting-edge Performance Marketing teams and gain exposure to a large scale, highly automated marketing engine.

You Will

Support data-driven decision-making around steering and bidding.
Regularly monitor and analyze the performance of our paid search campaigns, focusing on profitability and growth to identify opportunities for optimisation.
Analyze trends, including seasonality and market-specific behaviors, to identify and remove inefficiencies in our spent allocation.
Collaborate with the team to design and execute A/B tests to measure the impact of new bidding strategies and tactics. Analyze test results and translate them into actionable insights.
Work closely with Data Science and other Business Units on topics such as bids elasticity, CLV, and revenue maturation modeling.

Who You Are

You bring 3-5 years of experience interpreting data in Marketing Analytics, Business Intelligence or a related field.
Prior exposure to Paid Search, Bidding, and Marketing KPIs is a strong plus.
Strong knowledge of SQL and Python for analysis.
Experience with data visualization and reporting tools (e.g. Looker, Jupyter Notebooks, Databricks).
Ability to understand user behavior and meaning behind the numbers.
You are an excellent communicator who can present complex data findings to cross-functional teams in fluent English. 
You want to work in a fast-paced environment, balance multiple priorities and use your own initiative.

How We Set You Up For Success

Invest in your development with an annual personal growth budget
Enjoy flexibility with a hybrid work-from-home and telecommuting policy
Save on transportation costs with discounted public transportation tickets
Support your loved ones with generous maternity and paternity leave policies

And more...

We look forward to hearing from you

Unlock your full potential and join our mission to create unforgettable experiences for millions around the world. If you have the skills and passion for joining our team, we invite you to apply by submitting your CV/resume in English through the form below. Check out how we hire for tips and visibility into our process and check out life at GetYourGuide. If you have any further questions, please do not hesitate to contact us via jobs@getyourguide.com.

We are an equal-opportunity employer

Our commitment is that every qualified person will be evaluated according to skills regardless of age, gender identity, ethnicity, sexual orientation, disability status, or religion. Please refrain from including your picture and age with the application.

Important notice: Protect yourself from recruitment scams

We want to ensure your safety during the application process. Please be aware of potential scammers impersonating GetYourGuide recruiters. Remember, GetYourGuide never requests payment or sensitive personal information during recruitment. All official job opportunities are exclusively posted on our Careers page. If you suspect fraudulent activity, report it to jobs@getyourguide.com. Stay vigilant and protect yourself from recruitment scams."
Data Analyst Salesforce Data Cloud - Marketing (all genders),"Berlin, Berlin, Germany",On-site,"Wir gehören zu den Top-Adressen in der IT-Welt und fokussieren uns auf die Optimierung der Kerngeschäftsprozesse unserer Kunden. Durch den smarten Einsatz maßgeschneiderter IT-Lösungen unterstützen wir unsere Kunden dabei, das Beste aus ihrem Business und aktuellen Technologien herauszuholen. Unseren Erfolg aber erreichen wir nur durch eins: die Menschen bei adesso! Sie bringen Ideen, fachliches Know how und Technologien zusammen. Gemeinsam programmieren wir (deine) Zukunft bei adesso.

Standorte

Berlin, Köln, Düsseldorf, Hamburg, Dortmund, Frankfurt, München, Leipzig, Jena

DEINE ROLLE - DAS WARTET AUF DICH

Bist du bereit, die Marketingstrategien unserer Kunden durch datengetriebene Einsichten neu zu definieren? Außerdem zeichnet dich eine starke Lösungsorientierung aus? Dann bist du bei adesso genau richtig!

In deiner Rolle als Data Analyst spielst du eine zentrale Rolle bei der Einführung der Salesforce Data Cloud bei unseren Kunden.

Im Detail übernimmst du dabei folgende Aufgaben:

Kundenberatung und Datenanalyse: Du berätst Kunden bei der Einführung der Salesforce Data Cloud und identifizierst durch die Analyse vorhandener Kundendaten datengetriebene Marketing-Use Cases.
Kundendatenstrategie und Implementierung: Du entwickelst in enger Zusammenarbeit mit Kunden eine umfassende Kundendatenstrategie, die auf den identifizierten Use Cases basiert, und bist für die Implementierung des Datenmodells in der Salesforce Data Cloud verantwortlich.
Technische Integration und Segmentierung: Du gewährleistest eine optimale Verknüpfung von Business-Anforderungen mit technischen Datenmodellen und erstellst technische Segmente, um spezifische Marketing-Use Cases zu unterstützen.
Presales und Projektverantwortung: Du unterstützt Presales-Aktivitäten, erstellst Pitch-Konzepte und präsentierst diese vor potenziellen Kunden. Zudem übernimmst du die Verantwortung für die erfolgreiche Umsetzung und Implementierung der Projekte im Auftrag unserer Kunden.

DEINE SKILLS - DAS BRINGST DU MIT

Erfahrung: Du bringst mehrjährige Erfahrung als Data Analyst mit, idealerweise in Digital Analytics oder Marketing Analytics. Erfahrungen mit Verhaltensdaten im Digitalbereich oder Customer Data im Marketing sind wünschenswert.
Kenntnisse in Datenplattformen: Du hast Kenntnisse in Customer Data Platforms, Kenntnisse der Salesforce Data Cloud sind ein zusätzlicher Vorteil.
Digitales Marketing und Analytische Fähigkeiten: Du besitzt ein fundiertes Verständnis für digitales Marketing und bist erfahren in der Analyse und Interpretation von Daten sowie in der Identifikation von datengetriebenen Use Cases.
Kundendatenstrategie und Technische Fähigkeiten: Du hast Erfahrung in der Entwicklung und Implementierung von Kundendatenstrategien und verfügst über ein tiefes Verständnis von relationalen Datenmodellen sowie hervorragende SQL-Fähigkeiten.
Kommunikation und Teamarbeit: Du kannst komplexe technische Inhalte klar vermitteln und arbeitest effektiv sowohl in interdisziplinären Teams als auch selbstständig.

Unser Versprechen: Du wirst dich bei uns wohlfühlen! Kollegial, familiär und auf Augenhöhe – wir leben Austausch, Teamgeist und einen respektvollen Umgang miteinander. Diversität und verschiedene Blickwinkel werden bei uns genauso geschätzt wie du als Mensch. Das und viel mehr steht für unser ganz besonderes Wir-Gefühl. Für das es sogar ein Wort gibt: adessi.

Unsere Kultur und das Zusammenarbeiten sind geprägt von gegenseitiger Wertschätzung, Anerkennung und Unterstützung. Das verbindet uns hierarchieübergreifend – auch im Home-Office. So belegen wir zum wiederholten Mal den 1. Platz beim Wettbewerb „Deutschlands Beste Arbeitgeber in der ITK“!. Unser umfangreiches Trainingsangebot und ein transparentes Laufbahnstufenmodell für alle sorgen dafür, dass deine Entwicklung bei uns nicht stillsteht. Denn gemeinsam zu wachsen und Chancengeber zu sein, das ist programmiert in unserer DNA."
Marketing Data Analyst,European Union,Remote,"At Patrianna, We're passionate about creating exceptional gaming experiences for millions of players around the world, operating at the intersection of technology and entertainment, our aim is to deliver innovative solutions to enhance user experiences in social gaming.


We are looking for a Marketing Analyst to work closely with our marketing team. The ideal candidate should have hands-on experience with SQL and at least one reporting tool like Tableau, Power BI, or Looker. Prior experience in marketing is a plus but not required.

Key Responsibilities:
Manage and integrate multiple datasets from various sources to ensure accurate and consistent reporting.
Design, develop, and maintain interactive dashboards and reports using Tableau, Power BI, Looker, or similar tools.
Conduct in-depth analysis across multiple brands to identify strategies that enhance marketing ROI.
Ensure data accuracy and validate insights to support data-driven decision-making.

Requirements:
Proficiency in SQL for data querying and analysis.
Experience with reporting and visualization tools such as Tableau, Power BI, or Looker.
Marketing experience is a plus, especially with UTM tracking, affiliate platforms, campaign attribution, and digital advertising metrics (e.g., CTR, CPC, CPA).
Strong analytical skills and effective communication abilities.

Tech Stack: Google Big Query, Looker (LookML, not Looker Studio), Tableau, Git, Dataform.
If you are passionate about leveraging data to drive marketing success, we want to hear from you!"
Senior Data Analyst Marketing (f/m/x),"Berlin, Berlin, Germany",Full-time,"The role

As a Senior Data Analyst in the Marketing Analytics team, you will join the wider International Marketing Analytics. Your main focus will be on supporting your communication platform product team stakeholders which supports global CRM communications in HelloFresh in their decision making. You will be their key contact person regarding data and analytics questions. Your experience in analytics and related technologies, together with your excellent communication, stakeholder management and organisational skills will have a big impact on the company’s performance.

Above all, we are looking for people who will make HelloFresh better. We believe there are many different ways of developing skills and we love diverse experiences! So even if you don’t “tick all the boxes” but think you’d thrive in this role, we would really like to learn more about you.

What You’ll Do

Collaborate with Product and Commercial Leads in order to understand the strategic priorities for your domain and then execute against these with engaging work
Partner closely with the Product and Marketing organisation promoting a culture rooted in evidence-based decision making.
Communicate actionable insights clearly across the organisation highlighting the “so-whats” of your analyses in order to drive the growth of our business.
Explore and analyse customer behaviour, communication engagement and product performance data in order to detect growth opportunities for the HelloFresh digital product by improving user experience.

What You’ll Bring

Strong experience in quantitative analysis roles, ideally including having worked closely with product teams 
Technical Expertise: Proficient in advanced SQL and foundational statistical tests.
Data Visualization Mastery: advanced knowledge of Tableau for crafting compelling visualisations that effectively communicate complex data
Analytical Confidence: Confidence in performing analysis with large datasets while avoiding the common pitfalls
Holistic Analytical Approach: Blend of analytical and critical thinking, complemented by strong presentation and communication skills
Outcome-Driven Professional: Results-oriented with the ability to transform problem statements into actionable analytical insights. Skilled at aligning stakeholders to implement actions that bring value to both the business and its customers
BI and A/B Testing Exposure: Familiarity with Business Intelligence (BI) tools and experience in A/B testing and analytics platforms, including Google Analytics, Adobe Analytics, Optimizely, MixPanel, etc.

What We Offer

Elevate your lifestyle! Join one of Europe's fastest-growing tech powerhouses in a dynamic phase of expansion.

Immerse yourself in a diverse global community of 90+ nationalities.
Enjoy a competitive compensation package that goes beyond the norm, with perks like a HelloFresh- subsidized Pension Scheme, Berlin relocation support, and a Hybrid working model.
Elevate your lifestyle with exclusive discounts on your weekly HelloFresh box and office meals.
Invest in your growth with an annual learning & development budget, German language learning budget, and access to the HelloFresh Academy.
Plus, we've got your well-being covered with mental health support, transportation perks, and working-parent-friendly benefits. From our 24/7 gym access,wellbeing platforms like Headspace and Spill, to sabbatical leave options, HelloFresh is not just a workplace; it's a lifestyle of perks and possibilities!

Are you up for the challenge?

Please submit your complete application below including your salary expectations and earliest starting date.

After submitting an application our team will review this and get back to you within 5 business days.

JR102678"
Senior Data Analyst (Product),Germany,Remote,"About Komoot

Komoot is an app that lets you find, plan, and share outdoor adventures. Driven by a love for nature and powered by our passionate community, komoot helps you explore more of the great outdoors—wherever and however you want. And we're good at it. Google and Apple have listed us as one of their Apps of the Year numerous times. Today, with over 40 million users and 300,000 five-star reviews, we are well on our way to becoming the most popular app for finding, planning, and sharing outdoor adventures worldwide.

Join our 100% remote team and start your adventure with komoot.


About The Role

The Analytics team empowers everyone at komoot to make the best decisions possible with accurate, timely and useful data. As Senior Data Analyst you will work closely with our Product Manager Mathijs as well as developers and designers in a cross-functional squad to improve the user experience of millions of outdoor enthusiasts. You will join Trine and the rest of the Analytics team in taking ownership of the entire analytics lifecycle, from data collection to generating actionable insights to drive decisions. You will design tracking and metrics, create visualizations and build dashboards, and conduct experiments and explorative analyses. Together, we're helping millions of people explore more of the great outdoors.

Ready for your next adventure?


What You Will Do

Turn data into actionable insights about our users to drive product decisions
Spot strategic opportunities in the data and help shape squad roadmaps
Design metrics to measure the success of key features
Create visualizations to highlight trends and user behavior
Build dashboards and scheduled reports to monitor product KPIs
Design new events to track product features and provide data quality checks for the client teams
Design and analyze experiments to validate product hypotheses
Contribute towards trusted data transformation models in dbt
Organize and prioritize tasks of our data analytics roadmap

Why you will love it 

Your work will contribute to helping millions of people enjoy lovely outdoor experiences
We've been a remote-working company since 2017, meaning: We are remote by default, have frameworks and systems in place, and know how to do it well
You can work from wherever you want, be it a beach, the mountains, your house, or anywhere else that lies in any time zone between UTC-1 and UTC+3
We have your costs covered for your co-working space membership or your work-from-home office setup and the latest devices and equipment to do your best work
You'll become an essential part of our diverse and international team with colleagues based in 20+ countries across Europe
38 paid days off (inclusive public holidays) - you are free to take those days whenever it suits you, including a well-deserved winter holiday break
We love seeing people grow. That's why each team member gets €2,000 and 3 additional days to spend on professional development each year. Classes, conferences, books - your choice!


Requirements

You'll be successful in this role if you

Have 3+ years of experience with product analytics, including funnel analysis, cohort analysis, retention analysis, and A/B testing
Have excellent SQL skills and you're comfortable working with a cloud data warehouse (e.g. Redshift, Snowflake, BigQuery)
Know how to use Python/Pandas for data analysis and you have some experience with software development workflows (e.g. version control, code review)
Have experience using dbt for data transformation and modeling (good to have, this will help you a lot working in our environment) 
Have a good grasp on statistical concepts and you know how to apply them to real-world scenarios (e.g. hypothesis testing)
Can effectively communicate data topics and analysis results (e.g. visualization, dashboard design) and you can explain complex ideas in clear and simple language
Have a deep understanding of data quality and reliability of results
Know how to understand business needs and translate abstract problems into technical solutions
Can apply rigorous analytical thinking and you have a passion for finding actionable insights
Are hands-on, self-driven, and able to learn independently
Are a team player, communicate with empathy, and are always willing to help others

Not sure if you meet all requirements above? Don't sweat it - if you think you're the right person anyway, we'd love to hear from you!

Benefits

Curious about how we work? 

Core communication time between 10 am - 3 pm (Berlin time). We know people have different lifestyles, which is why we have flexible working hours with core time for synchronous interaction. You can organize your workday in the way that best suits you, your family, and your needs
We work on a project basis in cross functional teams to ensure that we collaborate on our goals, move forward smoothly with open lines of communication, and achieve results as a team
Every Monday morning, we have a whole-company presentation where you hear about projects across the business, inspire each other, and share great work. 
We connect in person at three whole-company gatherings each year in beautiful locations. You can check out this playlist to find out more about how we stay close while being remote
We use tools like Trello, Slack, Miro, Zoom, and Google Workspace on a daily basis to stay connected, collaborate easily, and manage projects. 

Dive a little deeper and learn...

More about how we work here: How We Work 
More about our recruitment process and FAQs here: FAQs 

We support diversity and inclusivity and welcome all prospective applicants. We have an ongoing recruitment process (no deadlines) - if this role is online, it means it's still open!"
Marketing Data Analyst – Business Banking (w/m/d) in Berlin / Frankfurt,"Berlin, Berlin, Germany",Hybrid,"The only thing bigger than your analytical skills is the data you work with? Be it while presenting or SQLing – you always strike the right chord? And do you look to thrive in a business that puts its employees at the heart of everything it does? Perfect! Apply now with your CV and help us use data to generate true insights.

Your Tasks

Enhance! Our data analytics and reporting capabilities with sophisticated data models and manage their deployment.
Additionally, you lend a hand in implementing as well as optimising of marketing automation processes like job scheduling or workflow automation.
Your data skills are top notch: In complex datasets (both structured and unstructured text data), you identify, analyse, and interpret trends or patterns. This enables a data-driven strategy for all business areas of the bank.
Not only do you present your results to internal stakeholders concisely and precisely but are also able to derive and showcase concrete action recommendations as to the path forward.
Throughout all this you keep a close eye on data integrity, manage our data sources effectively as well as work with the Tracking & Automation and Marketing Automation squads to further support their activities in ensuring data accuracy and consistency.

Your Profile

At least 5 years of relevant professional experience in marketing analytics or business intelligence
Experienced in digital ecosystems, preferably in the banking environment
Proven know-how in SQL, Big Data analytics, reporting and job scheduling capabilities
Good knowledge of banking products and financial services
Data-fluency, analytical mindset, ideally SAS & Cognos (or similar) experience
Proactive, adaptable team player with excellent (verbal) communication skills
The ability to look outside the box and develop sustainable solutions
Fluent German and English both written and spoken

We Offer Many Benefits

Company pension plan, capital-building offers, free Deutschlandticket & bicycle leasING, company restaurant
Hybrid working: In addition to working in the office, you can also work remotely – within operational, regulatory and legal requirements.
Individualized work schedule models, sabbatical, subsidization of nursing & childcare costs
Personal budget for continuing education and development as well as health; plus, a personal budget to set up your mobile working space

Ready for a new job?

At ING we are colourful and diverse: different personalities with different perspectives - an international culture where we value and appreciate each other. We believe in substance over style, people instead of labels.

This describes you to a T?

Simply apply online - your resume is all we need to get to know you, a cover letter is optional!"
"Data Analyst / Decision Scientist, Digital Marketing","Berlin, Berlin, Germany",Full-time,"Brief info about Vinted

Vinted Marketplace is the largest online international C2C marketplace in Europe dedicated to second-hand fashion, with millions of registered members spanning 20+ markets in Europe and North America. With a mission to make second-hand the first choice worldwide, Vinted enables people to sell and buy second-hand clothes and lifestyle items from each other, helping give those items a second or even third life.

Vinted Go launched in 2022, with a focus on developing products and solutions for more seamless shipping and delivery across Europe. Vinted Go has connected more than 40 carriers and more than 200,000 PUDO points across Europe to support the delivery of millions of parcels per year.

The Vinted Group, composed of Vinted Marketplace and Vinted Go, is headquartered in Vilnius, with workplaces in Germany, Lithuania, France, the United Kingdom, the Netherlands and over 2,000 employees. It is backed by six leading venture capital firms: Accel, Burda Principal Investments, EQT Growth, Insight Partners, Lightspeed Venture Partners, and Sprints Capital.

Information about the position

At Vinted, our Digital Marketing Data Science & Analytics team is pivotal in driving growth through data-driven decision-making and enabling high-stake investment decisions. This team comprises talented individuals with backgrounds in academia, econometrics, e-commerce, consulting, and media. They use scientific approaches to solve complex business problems, develop statistical and business models, perform advanced data analyses, and ensure data reliability.

Within Marketing, we currently have exciting opportunities for Decision Scientists to work with either CRM or Performance Marketing teams.

Within Data Science & Analytics (DSA) department we have three distinct roles. We believe that each role can make a similarly sized business impact in different ways and therefore our salary ranges are the same for all three roles. To understand your role within DSA context better, here are brief descriptions of each role we have in the department:

Decision Scientists are responsible for actionable insights, identifying and sizing opportunities, and automated tools that increase the quality of product and business decisions by applying statistical methods and data-driven decision making. 
Data Scientists are responsible for identification of algorithmic opportunities, ensuring those opportunities are addressed in an optimal fashion and design, development and maintenance of production-grade statistical and machine learning algorithms. 
Analytics Engineers are responsible for data curation – translating data needs from stakeholders into architecting, building and maintaining efficient & reliable data models and pipelines. 

In this position, you’ll

Set up untracked marketing experiments: Use Geo experiments, causal impact, or diff-in-diff methodologies to measure the incremental impact of different marketing channels and campaigns
Experimentation: Analyse AB tests and iterate on the experiment set up and automated testing tools
Revenue Stream Analysis: Investigate revenue streams generated by marketing, including acquisition, reactivation, and engagement. 
Marketing Channel Analysis: Assess the impact of various marketing channels on user acquisition, retention, engagement, and revenue. 
Support Media Mix Modeling: Occasionally assist with ad-hoc requests, including data questions, consultations, and analyses. 
Segmentation: Develop unique personas to enable relevant and personalised comms to millions of Vinted users
Analytical deep dives: answer complex questions such as: when is the best time to reach out to our customers? What is the best mix of different messages and amount of communications? What is the total impact of all communications?

About You

General Requirements:

Several years of experience as a Decision Scientist, Data Analyst, Data Scientist, or similar role. 
Strong business results orientation with the ability to connect scientific approaches with pragmatic problem-solving. 
Excellent communication skills to present results persuasively to various stakeholders. 
Proficiency in at least one statistical programming language (R, Python, Stata, Matlab, etc.)
Fluency in SQL and experience with dashboarding tools (e.g., Looker, Tableau). 
A graduate degree in statistics, econometrics, economics, business, or a related field. 
Excellent written and spoken English. 

Nice To Have Skills (not All Necessary)

Strong experimentation knowledge from CRM or Product background;
Good understanding of performance marketing channels attribution;
Causal inference and geo experimentation experience

Work perks

The opportunity to benefit from our share options programme
30 days of paid annual leave
Newest MacBook models
Mental and emotional health support through the Mindletic app
Home office support: we provide IT workstation equipment and a personal budget of up to €540 for home workplace furniture
A daily lunch allowance
Frequent team-building events
A personal monthly budget for shopping on Vinted
A subsidised gym membership with ClassPass or Urban Sports Card
A subsidised pension plan provided by Vinted
Hallesche Supplemental health insurance
Life and disability insurance provided
A subsidised Deutschlandticket
The opportunity to spend up to 90 days per year - 21 of which can be spent working outside of the EU - on workation
A dog-friendly office

Working at Vinted

Individual Learning Budget

We invest in your professional growth! As part of our commitment to continuous learning, we offer an annual learning budget to support your personal and career development through courses, certifications, workshops and more.

Hybrid Work

We’ve adopted a hybrid workplace model where 2 days in the office are recommended but not enforced. It’s up to you and your team to decide on the exact days you’ll spend working together in person.

Equal Opportunity

The Vinted Group is committed to building an inclusive workplace where people from all walks of life feel a sense of belonging. We welcome applications from people of all backgrounds, identities and life experiences. At Vinted, all applicants are treated fairly without regard to their race, age, religion or belief, sex, national origin, citizenship, gender identity, sexual orientation, disability, or any other protected characteristic.

The salary range for this position is € 57,000 - € 77,100 gross per year."
Online Data Analyst,Germany,Remote,"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home.
A Day in the Life of an Online Data Analyst:
In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide
Completing research and evaluation tasks in a web-based environment such as verifying and comparing data, and determining the relevance and accuracy of information.
Join us today and be part of a dynamic and innovative team that is making a difference in the world!
TELUS Digital AI Community
Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands.


Qualification Path

:
No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreemen
t.Basic Requiremen
tsFull Professional Proficiency in English & German langua
geBeing a resident in Germany for the last 2 Years consecutive years and having familiarity with current and historical business, media, sport, news, social media, and cultural affairs in Germa
nyAbility to follow guidelines and conduct online research using search engines, online maps, and website informati
onFlexibility to work across a diverse set of task types, including maps, news, audio tasks, and relevan
ceDaily access to a broadband internet connection, computer, and relevant softwa
reAssessme
ntIn order to be hired into the program, you’ll take an open book qualification exam that will determine your suitability for the position and complete ID verification. Our team will provide you with guidelines and learning materials before your qualification exam. You will be required to complete the exam in a specific timeframe but at your convenienc
e.Equal Opportuni
tyAll qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS Digital AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversit

y."
Online Data Analyst,"Berlin, Germany",Remote,"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home.
A Day in the Life of an Online Data Analyst:
In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide
Completing research and evaluation tasks in a web-based environment such as verifying and comparing data, and determining the relevance and accuracy of information.
Join us today and be part of a dynamic and innovative team that is making a difference in the world!
TELUS Digital AI Community
Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands.


Qualification Path

:
No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreemen
t.Basic Requiremen
tsFull Professional Proficiency in English & German langua
geBeing a resident in Germany for the last 2 Years consecutive years and having familiarity with current and historical business, media, sport, news, social media, and cultural affairs in Germa
nyAbility to follow guidelines and conduct online research using search engines, online maps, and website informati
onFlexibility to work across a diverse set of task types, including maps, news, audio tasks, and relevan
ceDaily access to a broadband internet connection, computer, and relevant softwa
reAssessme
ntIn order to be hired into the program, you’ll take an open book qualification exam that will determine your suitability for the position and complete ID verification. Our team will provide you with guidelines and learning materials before your qualification exam. You will be required to complete the exam in a specific timeframe but at your convenienc
e.Equal Opportuni
tyAll qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS Digital AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversit

y."
Online Data Analyst - German Speaking,"Berlin, Germany",Remote,"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? Enjoy the freedom to work at your own pace, from anywhere in Germany you feel comfortable.

What you'll do:
In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide
Completing research and evaluation tasks in a web-based environment such as verifying and comparing data, and determining the relevance and accuracy of information.

Why Join Us?
Flexible, part-time hours — work when it suits you.
Be part of a global AI community with 1 million+ contributors.
Opportunity to work on projects for top global brands.
Mental health support and access to well-being tools.

Basic Requirements
Residing in Germany for at least two consecutive years and demonstrating full professional proficiency in both German and English.
A comprehensive understanding of contemporary and historical events in business, media, sports, news, social media, and cultural affairs within Germany.
Skilled in adhering to guidelines and conducting online research using search engines, digital maps, and various website resources.
Capable of managing a diverse range of tasks, including those related to maps, news, audio analysis, and relevance assessment.
Access to a high-speed broadband internet connection, a personal computer, and the necessary software tools.

To join the program, you'll take an open-book qualification exam to assess your suitability and complete ID verification. Our team will provide guidelines and learning materials before the exam, which you can complete at your convenience within a set timeframe. This is a long-term project and your work will occasionally be subject to quality assurance checks.

Payment Information:
The rate of pay per task includes the time required to read the task guidelines. Payment will be issued in accordance with the terms outlined in the contributor agreement, upon successful completion of the tasks.

Ready to earn extra while contributing to the advancement of technology?

To get started, simply click ""Apply Now."" Make sure your device location is set to Germany for location validation. Then, create an account and complete the required fields. Set German as your primary language and English as your secondary language. Upload your CV in English (PDF format preferred)"
